
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
LITE-ON - DVD SOHD-167T	+12	277	100%
LITE-ON - DVD SOHD-16P1S	+6	2	100%
LITE-ON - DVD SOHD-16P9S	+6	239	100%
LITE-ON - DVD SOHD-16P9SV	+6	95	100%
LITE-ON - DVD+RW LDW-401S	+12	42	100%
LITE-ON - DVD+RW SOHW-802S	+12	15	100%
LITE-ON - DVD+RW SOHW-822S	+12	3	66%
LITE-ON - DVDRW DDW-813S	+12	1	100%
LITE-ON - DVDRW LDW-411S	+12	100	100%
LITE-ON - DVDRW LDW-451S	+12	84	100%
LITE-ON - DVDRW LDW-811S	+12	111	100%
LITE-ON - DVDRW LDW-851S	+12	85	100%
LITE-ON - DVDRW LH-16A1S	+6	7	100%
LITE-ON - DVDRW LH-16W1P	+6	17	100%
LITE-ON - DVDRW LH-18A1H	+6	88	100%
LITE-ON - DVDRW LH-18A1P	+6	191	100%
LITE-ON - DVDRW LH-20A1H	+6	620	100%
LITE-ON - DVDRW LH-20A1L	+6	631	100%
LITE-ON - DVDRW LH-20A1P	+6	543	100%
LITE-ON - DVDRW LH-20A1S	+6	786	100%
LITE-ON - DVDRW SH-16A7S	+6	87	100%
LITE-ON - DVDRW SHM-165H6S	+6	320	100%
LITE-ON - DVDRW SHM-165P6S	+6	361	100%
LITE-ON - DVDRW SHM-165S6S	+6	12	100%
LITE-ON - DVDRW SHW-160H6S	+6	40	100%
LITE-ON - DVDRW SHW-160P6S	+6	390	100%
LITE-ON - DVDRW SHW-1635S	+6	184	100%
LITE-ON - DVDRW SHW-16H5S	+6	147	100%
LITE-ON - DVDRW SOHW-1213S	+12	60	100%
LITE-ON - DVDRW SOHW-1613S	+12	5	100%
LITE-ON - DVDRW SOHW-1633S	+12	330	100%
LITE-ON - DVDRW SOHW-1653S	+12	177	100%
LITE-ON - DVDRW SOHW-1673S	+12	283	100%
LITE-ON - DVDRW SOHW-1693S	+12	424	100%
LITE-ON - DVDRW SOHW-812S	+12	130	100%
LITE-ON - DVDRW SOHW-832S	+12	312	100%
Lite-On - LTN483S 48x Max	-1164	23	100%
Lite-On - LTN486 48x Max	+600	23	100%
Lite-On - LTN486S 48x Max	+600	124	100%
LITE-ON - LTR-0841	+688	4	100%
LITE-ON - LTR-12101B	+688	39	100%
LITE-ON - LTR-12102B	+12	4	100%
LITE-ON - LTR-12102C	+12	5	100%
LITE-ON - LTR-16101B	+690	12	100%
LITE-ON - LTR-16102B	+12	60	100%
LITE-ON - LTR-24102B	+12	153	100%
LITE-ON - LTR-24102M	+12	40	100%
LITE-ON - LTR-24103S	+12	12	100%
LITE-ON - LTR-32123S	+12	107	100%
LITE-ON - LTR-32125W	+12	2	100%
LITE-ON - LTR-40125S	+12	219	100%
LITE-ON - LTR-40125W	+12	27	100%
LITE-ON - LTR-48125S	+12	58	100%
LITE-ON - LTR-48125W	+12	99	100%
LITE-ON - LTR-48126S	+6	8	100%
LITE-ON - LTR-48246K	+6	36	100%
LITE-ON - LTR-48246S	+6	215	100%
LITE-ON - LTR-48247S	+6	8	100%
LITE-ON - LTR-48327S	+6	27	100%
LITE-ON - LTR-52246S	+6	395	100%
LITE-ON - LTR-52327S	+6	558	100%
LITE-ON - LXR-40122	+12	9	100%
LITE-ON - LXR-40243	+6	7	100%
LITE-ON - SOHW-1673SU	+6	9	100%
LITEON - CD-ROM LTN323	-1164	3	100%
LITEON - CD-ROM LTN403	-1164	10	100%
LITEON - CD-ROM LTN403L	-1164	12	100%
LITEON - CD-ROM LTN483	-1164	3	100%
LITEON - CD-ROM LTN483L	-1164	5	100%
LITEON - CD-ROM LTN485S	-1164	14	100%
LITEON - CD-ROM LTN486S	+600	36	100%
LITEON - CD-ROM LTN525	-1164	2	100%
LITEON - CD-ROM LTN526	+600	28	100%
LITEON - CD-ROM LTN526D	+600	39	100%
LITEON - CD-ROM LTN526S	+600	24	100%
LITEON - DVD-ROM LTD-165H	+12	27	100%
LITEON - DVD-ROM LTD-165P	+12	2	100%
LITEON - DVD-ROM LTD122	+594	50	100%
LITEON - DVD-ROM LTD163	+594	353	100%
LITEON - DVD-ROM LTD163D	+594	82	100%
Logitec - LDV-P8U2L	+6	7	100%
MAD DOG - 56X CDROM	+691	1	100%
MAD DOG - LS-DVDRW TSH652M	+6	11	100%
MAD DOG - MD-16X2DVD9-8X	+48	3	100%
MAD DOG - MD-16X3DVD9-8X	+48	33	100%
MAD DOG - MD-16X3DVD9-8XB	+48	3	100%
MAD DOG - MD-16XDVD9	+48	38	100%
MAD DOG - MD-16XDVD9A2	+48	36	100%
MAD DOG - MD-16XDVD9A4	+48	23	100%
MAD DOG - TF-DVDRW TSH652D	+6	24	100%
MAD DOG - TF-DVDRW TSH652G	+6	1	100%
MAD DOG - TF-DVDRW TSH652N	+6	7	100%
Memorex - 16X DVD-ROM AJiA	+12	3	100%
Memorex - 16X-DDL-ILO	+6	7	100%
Memorex - 16X-DDL-IN	+48	36	100%
Memorex - 24MAXX 1040	+12	3	100%
Memorex - 32MAXX 1240AJ	+12	3	100%
Memorex - 32MAXX 1240AK	+12	1	100%
Memorex - 40EMAX 1240AJ	+12	1	100%
Memorex - 40EMAX 2440AJ	+6	1	100%
Memorex - 40MAXX 1248AJ	+12	9	100%
Memorex - 48MAX 244816AJ	+6	8	100%
Memorex - 48MAXX 2448AJ	+6	4	100%
Memorex - 52MAX 325216AJ	+6	11	100%
Memorex - 52MAX 325216AJv2	+6	9	100%
Memorex - 52MAXX 2452AJ	+6	37	100%
Memorex - 52MAXX 3252AJ1	+6	21	100%
Memorex - 52MAXX 3252AJ1v2	+6	34	100%
Memorex - 52MAXX 3252AJ	+6	12	100%
Memorex - 52X CD-ROM AJiA	+600	1	100%
Memorex - 52X CDROM AJiAv2	+12	2	100%
Memorex - BD Combo 700L v1	+6	1	100%
MEMOREX - CD-MAXX52	+12	2	100%
Memorex - CD-ROM 52X v2	+6	4	100%
Memorex - CD-RW 310L v1	+6	1	100%
Memorex - CDRW-4420	+685	2	100%
Memorex - DVD+--DLRWL1 F16	+12	24	100%
Memorex - DVD+--DLRWN16 D2	+48	4	100%
Memorex - DVD+--RW Dual-X1	+48	22	100%
Memorex - DVD+--RW True-8X	+48	13	100%
Memorex - DVD+--RW True8XI	+12	8	100%
Memorex - DVD+--RW True8Xn	+48	2	100%
Memorex - DVD+-RAM 510L v1	+6	38	100%
Memorex - DVD+-RAM 525G v1	+102	25	100%
Memorex - DVD+-RAM 530L v1	+6	92	100%
Memorex - DVD+-RAM 550L v1	+6	25	100%
Memorex - DVD+-RAM 550L v2	+48	1	100%
Memorex - DVD+R-RW 2.4x8AA	+120	12	100%
Memorex - DVD-MAXX 1648 AJ	+594	17	100%
MEMOREX - DVD-MAXX1240	+594	1	100%
Memorex - DVD-ROM 210L v1	+6	4	100%
Memorex - DVD-ROM 16X v2	+6	8	100%
Memorex - DVD16+--DL4RWlD2	+12	59	100%
Memorex - DVD16+--DL4RWnD2	+48	6	100%
Memorex - DVDUR-RW 8412AJ	+12	1	100%
Memorex - MRX-650LE v1	+6	1	100%
Memorex - Twelve MAXX 1032	+688	3	100%
Memup - DVD-ROM BDV316C	+12	3	100%
MEMUP - IDE1008	+12	1	100%
Microtek - DVD-ROM DRL-160	+594	1	100%
MIDA - 40XB	-1164	3	100%
MITSUMI - CD-ROM FX48++M	+12	4	100%
MITSUMI - CD-ROM FX48++W	+694	10	100%
MITSUMI - CD-ROM FX4820T!B	+680	8	100%
MITSUMI - CD-ROM FX4821T!A	+680	1	100%
MITSUMI - CD-ROM FX4824T!B	+694	2	100%
MITSUMI - CD-ROM FX4830T!B	+694	16	100%
MITSUMI - CD-ROM FX4831T!A	+694	8	100%
MITSUMI - CD-ROM FX54++M	+12	9	100%
MITSUMI - CD-ROM FX54++W	+694	10	100%
MITSUMI - CD-ROM SR243T	+694	4	100%
MITSUMI - CD-ROM SR244W1	+694	1	100%
MITSUMI - CD-ROM SR244W	+694	4	100%
MITSUMI - CR-4804TE	+686	45	100%
MITSUMI - CR-487ETE	+6	11	100%
MITSUMI - CR-48X5TE	+674	4	75%
MITSUMI - CR-48X8TE	+733	10	100%
MITSUMI - CR-48X9TE	+733	16	100%
MITSUMI - CR-48XATE	+733	34	100%
MITSUMI - CR-48XCTE	+733	11	100%
MITSUMI - CR-48XETE	+12	17	100%
MITSUMI - CR-48XFTE	+733	3	100%
MITSUMI - CR-48XGTE	+733	8	100%
MITSUMI - DR-6800TE	+6	4	75%
MITSUMI - DW-7801TE	+48	2	100%
MITSUMI - DW-7802TE	+48	1	100%
MITSUMI - DW-7872TE	+12	1	100%
MOSER - BAER DH-20A3S	+6	1	100%
MOSER - BAER DH-20A4P	+6	1	100%
MOSER - BAER DH-22A8P	+6	2	100%
MOSER - BAER DH-22A8S	+6	2	100%
MSI - CD-RW 52X32X52X	+738	3	100%
MSI - CD-RW CR52	+6	51	100%
MSI - CD-RW MS-8332	+733	1	100%
MSI - CD-RW MS-8340S	+688	1	100%
MSI - CD-RW MS-8348	+733	10	100%
MSI - DSE-8AS	+6	2	100%
MSI - DVD-ROM 16X	+738	12	100%
MSI - WIND DRIVE UO882	+6	1	100%
MSI - Wind Drive	+6	4	100%
Nakamich - Dragon 05	+30	1	100%
NEC - CD-ROM DRIVE;282	+680	16	100%
NEC - CD-ROM DRIVE;28C	+974	2	100%
NEC - CD-ROM DRIVE;28D	+974	1	100%
NEC - CD-ROM DRIVE;28G	+680	3	100%
NEC - CD-ROM DRIVE;291	+680	1	100%
NEC - CD-ROM DRIVE;465	+92	5	100%
NEC - CD-ROM DRIVE;466	+680	4	100%
NEC - CD-ROM CD-3002A	+600	17	100%
NEC - CD-ROM CD-3002C	+6	5	100%
NEC - CD-RW NR-9100A	+685	71	100%
NEC - CD-RW NR-9200A	+685	16	100%
NEC - CD-RW NR-9300A	+685	58	100%
NEC - CD-RW NR-9400A	+145	16	100%
NEC - CD-RW NR-9500A	+145	5	100%
NEC - CD-RW NR-9500B	+145	11	100%
NEC - CDRW-DVD CB1100A	+6	8	100%
NEC - CDRW-DVD CB1100B	+6	8	100%
NEC - DV-5500A	+116	8	100%
NEC - DV-5700A	+116	51	100%
NEC - DV-5700B	+116	14	100%
NEC - DV-5800A	+116	84	100%
NEC - DV-5800C	+12	55	100%
NEC - DV-5800E	+6	31	100%
NEC - DVD+-RW ND-2510A	+48	31	100%
NEC - DVD+-RW ND-3450A	+48	117	100%
NEC - DVD+-RW ND-3530A	+48	218	100%
NEC - DVD+-RW ND-3650A	+48	69	100%
NEC - DVD+-RW ND-6450A	+48	8	100%
NEC - DVD+-RW ND-6500A	+48	380	100%
NEC - DVD+-RW ND-6650A	+48	596	100%
NEC - DVD+RW ND-1000A	+48	12	100%
NEC - DVD+RW ND-1100A	+48	316	100%
NEC - DVD+RW ND-2100AD	+48	114	100%
NEC - DVD+RW ND-3100AD	+48	22	100%
NEC - DVD+RW ND-5100A	+48	47	100%
NEC - DVD+RW ND-6100A	+48	56	100%
NEC - DVD_RW ND-1300A	+48	517	100%
NEC - DVD_RW ND-2500A	+48	635	100%
NEC - DVD_RW ND-2510A	+48	636	100%
NEC - DVD_RW ND-3500AG	+48	1399	100%
NEC - DVD_RW ND-3520A	+48	749	100%
NEC - DVD_RW ND-3520AW	+48	791	100%
NEC - DVD_RW ND-3530A	+48	65	100%
NEC - DVD_RW ND-3540A	+48	1314	100%
NEC - DVD_RW ND-3550A	+48	1246	100%
NEC - DVD_RW ND-3551A	+48	51	100%
NEC - DVD_RW ND-3570A	+48	50	100%
NEC - DVD_RW ND-4550A	+48	546	100%
NEC - DVD_RW ND-4551A	+48	352	100%
NEC - DVD_RW ND-4570A	+48	257	100%
NEC - DVD_RW ND-4571A	+48	352	100%
NEC - DVD_RW ND-5500A	+48	3	100%
NEC - DVD_RW ND-6750A	+48	61	100%
NEC - DVD_RW ND-7550A	+48	33	100%
NEC - DVD_RW ND-7551A	+48	15	100%
NEC - DVD_RW ND-XXX	0	1	100%
NEC - NR-7500A	+685	10	100%
NEC - NR-7700A	+685	35	100%
NEC - NR-7800A	+685	43	100%
NEC - NR-7800B	+685	12	100%
NEC - NR-7900A	+685	93	100%
NU - CDRW-DVD DBW-521	+6	4	100%
NU - DVDRW DDW-081	+1292	7	100%
NU - DVDRW DDW-082	+1292	31	100%
NU - DVDRW SDW-042	+1292	1	100%
OEM - CD-ROM 48SSB	+12	1	100%
OEM - CD-ROM CMD5211	+691	1	100%
OEM - CD-ROM F522E	+12	6	100%
OEM - CD-ROM F563E	+12	6	100%
OEM - CD-ROM F564E	+12	14	100%
OEM - CD-ROM F566E	+691	2	100%
OIPD42T - OPC-K101-ST1	+30	1	100%
OLYMPUS - S-DVD-100	+48	3	100%
Opriarc - DVD RW AD-7173A	+48	1	100%
Optiarc - BD DRV BC-5600S	+48	15	100%
Optiarc - BD ROM BC-5100S	+667	18	100%
Optiarc - BD ROM BC-5500A	+48	171	100%
Optiarc - BD ROM BC-5500H	+48	46	100%
Optiarc - BD ROM BC-5500S4	+48	49	100%
Optiarc - BD ROM BC-5500S	+48	365	100%
Optiarc - BD ROM BC-5530H	+48	3	100%
Optiarc - BD ROM BC-5540H	+48	2	100%
Optiarc - BD ROM BC-5550H	+48	2	50%
Optiarc - BD ROM BC-5600S	+48	28	100%
Optiarc - BD ROM BC-5640H	+48	8	100%
Optiarc - BD RW BD-5300S	+6	65	100%
Optiarc - BD RW BD-5730S6	+48	9	100%
Optiarc - BD RW BD-5730S	+48	29	100%
Optiarc - BD RW BD-5740H	+48	6	100%
Optiarc - BD RW BD-5740L	+48	3	100%
Optiarc - BD RW BD-5750H	+48	8	100%
Optiarc - BD RW BD-5750L	+48	1	100%
Optiarc - BD RW BD-5840H	+48	5	100%
Optiarc - BD RW BD-5850H	+48	1	100%
Optiarc - BD-ROM BR-5100S	+79	34	100%
Optiarc - BDRW BD-M100A	+102	1	100%
Optiarc - CD-RW CRX880A	+6	34	100%
Optiarc - CDRWDVD CRX890A	+6	13	100%
Optiarc - CDRWDVD CRX890S	+6	4	100%
Optiarc - DVD ROM DDU7700H	+48	4	100%
Optiarc - DVD ROM DDU7710H	+48	1	100%
Optiarc - DVD RW AD-5170A	+48	498	100%
Optiarc - DVD RW AD-5170S	+48	3	100%
Optiarc - DVD RW AD-5200A	+48	233	100%
Optiarc - DVD RW AD-5200S	+48	83	100%
Optiarc - DVD RW AD-5240S	+48	222	100%
Optiarc - DVD RW AD-5260S	+48	143	100%
Optiarc - DVD RW AD-5280S	+48	24	100%
Optiarc - DVD RW AD-5530A	+6	15	100%
Optiarc - DVD RW AD-5540A	+48	79	100%
Optiarc - DVD RW AD-5540B	+48	1	100%
Optiarc - DVD RW AD-5590A	+48	9	100%
OPTIARC - DVD RW AD-5630A	+48	76	100%
OPTIARC - DVD RW AD-5670S	+48	45	100%
OPTIARC - DVD RW AD-5680H	+48	97	100%
OPTIARC - DVD RW AD-5690H	+48	10	100%
OPTIARC - DVD RW AD-5960S	+48	4	100%
OPTIARC - DVD RW AD-5970H	+48	6	100%
Optiarc - DVD RW AD-7170A	+48	614	100%
Optiarc - DVD RW AD-7170S	+48	502	100%
Optiarc - DVD RW AD-7173A	+48	840	100%
Optiarc - DVD RW AD-7173S	+48	368	100%
Optiarc - DVD RW AD-7190A	+6	99	100%
Optiarc - DVD RW AD-7190S	+6	39	100%
Optiarc - DVD RW AD-7191A	+6	83	100%
Optiarc - DVD RW AD-7191S	+6	211	100%
Optiarc - DVD RW AD-7200A	+48	410	100%
Optiarc - DVD RW AD-7200S	+48	711	100%
Optiarc - DVD RW AD-7201A	+48	65	100%
Optiarc - DVD RW AD-7201S5	+48	41	100%
Optiarc - DVD RW AD-7201S6	+48	17	100%
Optiarc - DVD RW AD-7201S	+48	184	100%
Optiarc - DVD RW AD-7203A	+48	241	100%
Optiarc - DVD RW AD-7203S	+48	525	100%
Optiarc - DVD RW AD-7220A	+6	19	100%
Optiarc - DVD RW AD-7220S	+6	41	100%
Optiarc - DVD RW AD-7221A	+6	4	100%
Optiarc - DVD RW AD-7221S	+6	5	100%
Optiarc - DVD RW AD-7230S	+48	21	100%
Optiarc - DVD RW AD-7231S5	+48	12	100%
Optiarc - DVD RW AD-7233S	+48	14	100%
Optiarc - DVD RW AD-7240S	+48	934	100%
Optiarc - DVD RW AD-7241S	+48	347	100%
Optiarc - DVD RW AD-7243S	+48	116	100%
Optiarc - DVD RW AD-7250H	+48	14	100%
Optiarc - DVD RW AD-7260S	+48	395	100%
Optiarc - DVD RW AD-7261S	+48	97	100%
Optiarc - DVD RW AD-7263S	+48	72	100%
Optiarc - DVD RW AD-7270H	+48	1	100%
Optiarc - DVD RW AD-7280S	+48	67	98%
Optiarc - DVD RW AD-7283S	+48	5	100%
Optiarc - DVD RW AD-7290H	+48	1	100%
Optiarc - DVD RW AD-7530A	+6	157	100%
Optiarc - DVD RW AD-7530B	+6	169	100%
Optiarc - DVD RW AD-7540A	+48	262	100%
Optiarc - DVD RW AD-7543A	+48	73	100%
Optiarc - DVD RW AD-7543B	+48	7	100%
Optiarc - DVD RW AD-7543C	+48	4	100%
Optiarc - DVD RW AD-7560A	+6	271	100%
Optiarc - DVD RW AD-7560S	+6	190	100%
Optiarc - DVD RW AD-7561A	+6	105	100%
Optiarc - DVD RW AD-7561S	+6	255	100%
Optiarc - DVD RW AD-7563A	+6	46	100%
Optiarc - DVD RW AD-7580A	+6	25	100%
Optiarc - DVD RW AD-7580S	+6	240	100%
Optiarc - DVD RW AD-7581A	+6	15	100%
Optiarc - DVD RW AD-7581S	+6	42	100%
Optiarc - DVD RW AD-7583S	+6	22	100%
Optiarc - DVD RW AD-7585H	+6	121	100%
Optiarc - DVD RW AD-7590A	+48	73	100%
Optiarc - DVD RW AD-7590B	+48	9	100%
Optiarc - DVD RW AD-7590S	+48	78	100%
Optiarc - DVD RW AD-7590T	+48	2	100%
Optiarc - DVD RW AD-7591S	+48	10	100%
Optiarc - DVD RW AD-7593A	+48	31	100%
Optiarc - DVD RW AD-7630A	+48	27	100%
Optiarc - DVD RW AD-7633A	+48	19	100%
Optiarc - DVD RW AD-7640A	+6	15	100%
Optiarc - DVD RW AD-7640S	+6	20	100%
Optiarc - DVD RW AD-7643S	+6	5	100%
Optiarc - DVD RW AD-7670S	+48	13	100%
Optiarc - DVD RW AD-7690H	+48	11	100%
Optiarc - DVD RW AD-7700H	+48	93	100%
Optiarc - DVD RW AD-7700S	+48	100	100%
Optiarc - DVD RW AD-7700T	+48	15	100%
Optiarc - DVD RW AD-7703S	+48	5	100%
Optiarc - DVD RW AD-7710H	+48	81	100%
Optiarc - DVD RW AD-7710I	+48	7	100%
Optiarc - DVD RW AD-7717H	+48	7	100%
Optiarc - DVD RW AD-7730U	+6	1	100%
Optiarc - DVD RW AD-7740H	+48	11	100%
Optiarc - DVD RW AD-7740I	+48	2	100%
Optiarc - DVD RW AD-7910A	+48	125	100%
Optiarc - DVD RW AD-7910S	+48	111	100%
Optiarc - DVD RW AD-7913A	+48	2	100%
Optiarc - DVD RW AD-7930H	+48	67	100%
Optiarc - DVD RW AD-7930V	+804	2	50%
Optiarc - DVD+-RW AD-5170S	+48	119	100%
Optiarc - DVD+-RW AD-5540A	+48	232	100%
Optiarc - DVD+-RW AD-5560A	+6	168	100%
Optiarc - DVD+-RW AD-7200S	+48	216	100%
Optiarc - DVD+-RW AD-7230S	+48	43	100%
Optiarc - DVD+-RW AD-7250H	+48	9	100%
Optiarc - DVD+-RW AD-7270H	+48	3	100%
Optiarc - DVD+-RW AD-7560S	+6	18	100%
Optiarc - DVD+-RW AD-7580A	+6	20	100%
Optiarc - DVD+-RW AD-7580S	+6	30	100%
Optiarc - DVD+-RW AD-7585H	+6	17	100%
Optiarc - DVD+-RW AD-7640A	+6	139	100%
Optiarc - DVD+-RW AD-7640S	+6	117	100%
Optiarc - DVD+-RW AD-7700H	+48	19	100%
Optiarc - DVD+-RW AD-7717H	+48	20	100%
Optiarc - DVD+-RW AD-7747H	+48	1	100%
Optiarc - DVD+-RW AD-7930H	+48	15	100%
Optiarc - DVD+-RW ND-3570A	+48	68	100%
Optiarc - DVD-ROM DDU1671S	+6	50	100%
Optiarc - DVD-ROM DDU1675A	+6	7	100%
Optiarc - DVD-ROM DDU1675S	+6	18	100%
OPTIARC - DVD-ROM DDU1678A	+6	14	100%
OPTIARC - DVD-ROM DDU1681S	+6	35	100%
Optiarc - DVD-ROM DDU820A	+6	1	100%
Optiarc - DVD-ROM DDU820S	+6	1	100%
Optiarc - DVD-RW AD-7173A	+48	1	100%
Optiarc - DVDRWBD BC-5540H	+48	20	100%
Optiarc - DVDRWBD BC-5550H	+48	1	100%
Optiarc - DVDRWBD BC-5600S	+48	48	100%
OPTORITE - CD-RW CW4802	+733	6	100%
OPTORITE - CD-RW CW5201	+688	9	100%
OPTORITE - CD-RW CW5202	+688	1	100%
OPTORITE - CD-RW CW5205	+688	12	100%
OPTORITE - CD-RW CW5207	+733	4	100%
OPTORITE - COMBO DC4801	+738	1	100%
OPTORITE - DVD RW DD0201	+689	6	100%
OPTORITE - DVD RW DD0203	+688	9	100%
OPTORITE - DVD RW DD0401	+689	5	100%
OPTORITE - DVD RW DD0405	+689	30	100%
OPTORITE - DVD RW DD1203	+691	3	100%
OPTORITE - DVD RW DD1205	+691	5	100%
OPTORITE - DVD RW DD1603	+691	1	100%
OTUL - 0H6RCLQ7G5MJ	+6	2	100%
Panasonic - BD-CMB UJ-110	+102	8	100%
Panasonic - BD-CMB UJ-120	+102	123	100%
Panasonic - BD-CMB UJ130A	+102	6	100%
Panasonic - BD-CMB UJ130AS	+102	28	100%
Panasonic - BD-CMB UJ140AS	+103	6	100%
Panasonic - BD-CMB UJ141AF	+103	9	100%
Panasonic - BD-CMB UJ141AJ	+103	1	100%
Panasonic - BD-CMB UJ141AL	+103	12	100%
Panasonic - BD-CMB UJ141AS	+103	56	100%
Panasonic - BD-CMB UJ141EF	+103	4	100%
Panasonic - BD-CMB UJ141EL	+103	10	100%
Panasonic - BD-CMB UJ141ES	+103	10	100%
Panasonic - BD-CMB UJ152	+103	3	100%
Panasonic - BD-CMB UJ242AS	+103	5	100%
Panasonic - BD-MLT LF-MB121	+102	1	100%
Panasonic - BD-MLT LF-PB271	+102	2	100%
Panasonic - BD-MLT LF-PB371	+102	8	87%
Panasonic - BD-MLT SW-4583	+102	7	100%
Panasonic - BD-MLT SW-5582	+102	6	100%
Panasonic - BD-MLT SW-5583	+102	17	100%
Panasonic - BD-MLT SW-5584	+102	40	100%
Panasonic - BD-MLT UJ-210S	+102	46	100%
Panasonic - BD-MLT UJ-215S	+102	2	100%
Panasonic - BD-MLT UJ-220S	+102	115	100%
Panasonic - BD-MLT UJ-220V	+102	8	100%
Panasonic - BD-MLT UJ-225S	+102	13	100%
Panasonic - BD-MLT UJ230AS	+102	91	100%
Panasonic - BD-MLT UJ232A	+102	1	100%
Panasonic - BD-MLT UJ232AS	+102	23	100%
Panasonic - BD-MLT UJ235AS	+102	5	100%
Panasonic - BD-MLT UJ240AF	+103	26	100%
Panasonic - BD-MLT UJ240AFW	+103	3	100%
Panasonic - BD-MLT UJ240AS	+103	116	100%
Panasonic - BD-MLT UJ240EF	+103	3	100%
Panasonic - BD-MLT UJ240ES	+103	64	100%
Panasonic - BD-MLT UJ242AS	+103	15	100%
Panasonic - BD-MLT UJ252	+103	1	100%
Panasonic - BD-MLT UJ260	+103	2	100%
Panasonic - BD-MLT UJ260E	+103	1	100%
Panasonic - BD-MLT UJ260F	+103	5	100%
Panasonic - BD-RE UJ-210	+102	2	100%
Panasonic - BD-RE UJ-220	+102	15	100%
Panasonic - BD-RE UJ-225S	+102	39	100%
Panasonic - BD-RE UJ232A	+102	6	100%
Panasonic - BD-RE UJ235A	+102	22	100%
Panasonic - BD-RE UJ240	+103	2	100%
Panasonic - BD-RE UJ240AF	+103	5	100%
Panasonic - BD-RE UJ242	+103	2	100%
Panasonic - CD-R CW-7502	+122	1	100%
Panasonic - CD-R CW-7503	+103	1	100%
Panasonic - CD-ROM CR-175	+102	2	100%
Panasonic - CD-ROM CR-176	+99	1	100%
Panasonic - CD-ROM CR-177	+99	12	100%
Panasonic - CD-ROM CR-584	+122	3	100%
Panasonic - CD-ROM CR-585	+103	17	100%
Panasonic - CD-ROM CR-587	+103	5	100%
Panasonic - CD-ROM CR-588	+103	9	100%
Panasonic - CD-ROM CR-589	+103	2	100%
Panasonic - CD-ROM CR-594	+99	8	100%
Panasonic - CD-RW CW-8571	+103	2	100%
Panasonic - CD-RW CW-7585	+99	1	100%
Panasonic - CD-RW CW-7586	+86	6	100%
Panasonic - CD-RW CW-8121	+103	7	100%
Panasonic - CD-RW CW-8123	+102	13	100%
Panasonic - CD-RW CW-8124	+102	50	100%
Panasonic - CD-RW CW-8221	+102	43	100%
Panasonic - CD-RW CW-8572	+103	6	100%
Panasonic - CDRRW05	+687	1	100%
Panasonic - CDRW-DVD UJDA740	+102	24	100%
Panasonic - CDRW-DVD UJDA760	+102	4	100%
Panasonic - DVD RAM UJ862A	+102	2	100%
Panasonic - DVD+-RW UJ-857G	+102	157	100%
Panasonic - DVD+-RW UJ-867S	+102	37	100%
Panasonic - DVD+-RW UJ-875S	+102	81	100%
Panasonic - DVD+-RW UJ862A	+102	52	100%
Panasonic - DVD+-RW UJ890	+102	6	100%
Panasonic - DVD+-RW UJ892	+102	41	100%
Panasonic - DVD+-RW UJ8A2	+102	21	100%
Panasonic - DVD+-RW UJ8A7	+102	1	100%
Panasonic - DVD+-RW UJ8B1	+6	8	100%
Panasonic - DVD+-RW UJ8B2	+102	1	100%
Panasonic - DVD+-RW UJ8C1	+6	2	100%
Panasonic - DVD-CDRW UJDA770	+102	32	100%
Panasonic - DVD-CDRW UJDA775	+102	130	100%
Panasonic - DVD-CDRW UJDA780	+102	5	100%
Panasonic - DVD-CDRW UJDA782	+102	2	100%
Panasonic - DVD-R UJ-825	+102	2	100%
Panasonic - DVD-R UJ-845F	+102	1	100%
Panasonic - DVD-R UJ-846	+102	53	100%
Panasonic - DVD-R UJ-857	+102	51	100%
Panasonic - DVD-R UJ-857D	+102	62	100%
Panasonic - DVD-R UJ-857E	+102	115	100%
Panasonic - DVD-R UJ-85J	+102	132	100%
Panasonic - DVD-R UJ-867	+102	41	100%
Panasonic - DVD-R UJ-868	+102	132	100%
Panasonic - DVD-R UJ-875	+102	55	100%
Panasonic - DVD-R UJ-898	+102	111	100%
Panasonic - DVD-R UJ-8A8	+102	25	100%
Panasonic - DVD-R UJ867A	+102	1	100%
Panasonic - DVD-RAM LF-D200	+103	1	100%
Panasonic - DVD-RAM LF-D210	+103	1	100%
Panasonic - DVD-RAM LF-D310	+103	18	100%
Panasonic - DVD-RAM LF-D311	+103	9	100%
Panasonic - DVD-RAM LF-D521	+102	22	100%
Panasonic - DVD-RAM LF-M721	+102	4	100%
Panasonic - DVD-RAM LF-M760	+102	4	100%
Panasonic - DVD-RAM LF-M821	+102	3	100%
Panasonic - DVD-RAM LF-M860	+102	2	100%
